loan_id,application_id,jurisdiction,status,origination_date,apr
L0053,A0080,ORIN,FUNDED,2026-04-18,23.00
L0054,A0082,MIRA,FUNDED,2026-04-24,18.00
L0055,A0083,TALA,FUNDED,2026-04-27,19.00
L0056,A0085,ORIN,FUNDED,2026-05-03,20.00
L0057,A0086,MIRA,FUNDED,2026-05-06,21.00
L0058,A0088,TALA,FUNDED,2026-05-12,22.00
L0059,A0089,ORIN,FUNDED,2026-05-15,23.00
L0060,A0091,MIRA,FUNDED,2026-05-21,18.00
L0061,A0092,TALA,FUNDED,2026-05-24,19.00
L0062,A0094,ORIN,FUNDED,2026-05-30,20.00
L0063,A0095,MIRA,FUNDED,2026-06-02,21.00
L0064,A0097,TALA,FUNDED,2026-06-08,22.00
L0065,A0098,ORIN,FUNDED,2026-06-11,23.00
L0066,A0100,MIRA,FUNDED,2026-04-03,18.00
L0067,A0101,TALA,FUNDED,2026-04-06,19.00
L0068,A0103,ORIN,FUNDED,2026-04-12,20.00
L0069,A0104,MIRA,FUNDED,2026-04-15,21.00
L0070,A0106,TALA,FUNDED,2026-04-21,22.00
L0071,A0107,ORIN,FUNDED,2026-04-24,23.00
L0072,A0109,MIRA,FUNDED,2026-04-30,18.00
L0073,A0110,TALA,FUNDED,2026-05-03,19.00
L0074,A0112,ORIN,FUNDED,2026-05-09,20.00
L0075,A0113,MIRA,FUNDED,2026-05-12,21.00
L0076,A0115,TALA,FUNDED,2026-05-18,22.00
L0077,A0116,ORIN,FUNDED,2026-05-21,23.00
L0078,A0118,MIRA,FUNDED,2026-05-27,18.00
L0079,A0119,TALA,FUNDED,2026-05-30,19.00
L0080,A0121,ORIN,FUNDED,2026-06-05,20.00
L0081,A0122,MIRA,FUNDED,2026-06-08,21.00
L0082,A0124,TALA,FUNDED,2026-06-14,22.00
L0083,A0125,ORIN,FUNDED,2026-04-03,23.00
L0084,A0127,MIRA,FUNDED,2026-04-09,18.00
L0085,A0128,TALA,FUNDED,2026-04-12,19.00
L0086,A0130,ORIN,FUNDED,2026-04-18,20.00
L0087,A0131,MIRA,FUNDED,2026-04-21,21.00
L0088,A0133,TALA,FUNDED,2026-04-27,22.00
L0089,A0134,ORIN,FUNDED,2026-04-30,23.00
L0090,A0136,MIRA,FUNDED,2026-05-06,18.00
L0091,A0137,TALA,FUNDED,2026-05-09,19.00
L0092,A0139,ORIN,FUNDED,2026-05-15,20.00
L0093,A0140,MIRA,FUNDED,2026-05-18,21.00
L0094,A0142,TALA,FUNDED,2026-05-24,22.00
L0095,A0143,ORIN,FUNDED,2026-05-27,23.00
L0096,A0145,MIRA,FUNDED,2026-06-02,18.00
L0097,A0146,TALA,FUNDED,2026-06-05,19.00
L0098,A0148,ORIN,FUNDED,2026-06-11,20.00
L0099,A0149,MIRA,FUNDED,2026-06-14,21.00
L0100,A0151,TALA,FUNDED,2026-04-06,22.00
L0101,A0152,ORIN,FUNDED,2026-04-09,23.00
L0102,A0154,MIRA,FUNDED,2026-04-15,18.00
L0103,A0155,TALA,FUNDED,2026-04-18,19.00
L0104,A0157,ORIN,FUNDED,2026-04-24,20.00
L0105,A0158,MIRA,FUNDED,2026-04-27,21.00
L0106,A0160,TALA,FUNDED,2026-05-03,22.00
L0107,A0161,ORIN,FUNDED,2026-05-06,23.00
L0108,A0163,MIRA,FUNDED,2026-05-12,18.00
L0109,A0164,TALA,FUNDED,2026-05-15,19.00
L0110,A0166,ORIN,FUNDED,2026-05-21,20.00
L0111,A0167,MIRA,FUNDED,2026-05-24,21.00
L0112,A0169,TALA,FUNDED,2026-05-30,22.00
L0113,A0170,ORIN,FUNDED,2026-06-02,23.00
L0114,A0172,MIRA,FUNDED,2026-06-08,18.00
L0115,A0173,TALA,FUNDED,2026-06-11,19.00
L0116,A0175,ORIN,FUNDED,2026-04-03,20.00
L0117,A0176,MIRA,FUNDED,2026-04-06,21.00
L0118,A0178,TALA,FUNDED,2026-04-12,22.00
L0119,A0179,ORIN,FUNDED,2026-04-15,23.00
L0120,A0181,MIRA,FUNDED,2026-04-21,18.00
L0120,A0181,MIRA,FUNDED,2026-04-21,18.00
